sku	price	minimum-seller-allowed-price	maximum-seller-allowed-price	quantity	handling-time
NR-8W3U-7KVC	20.15			2	2
FE-UHKS-AK1G	70.52			2	2
0C-7NR3-PH0M	34.75			2	2
AV-7PDR-4A3O	1072.81			2	2
8H-QH2S-XWPC	72.09			2	2
OS-1T78-37Q4	79.44			2	2
X2-8FB8-RMX6	28.36			2	2
5Q-U54J-0TBV	20.02			2	2
DH-LXC9-2G39	16.9			2	2
B0-6CBJ-VR2X	92.53			2	2
9E-KFX8-EO0N	37.55			2	2
9T-DAX7-33IS	114.79			2	2
KZ-S42F-PXG8	20.1			2	2
6E-KUSA-0333	75.63			2	2
45-B2GG-MRM1	143.67			2	2
BX-WPWC-0LFF	74.49			2	2
HY-W8B1-AWLW				0	2
KB-R664-JV6J	18.37			2	2
S1-ZK2G-ZIG0	22.13			2	2
2B-KMDA-3S61	12.15			2	2
I8-VVOR-PPZU	29.22			2	2
F0-2DT8-ZH8G	26.5			2	2
UD-LPUQ-IDLH	95.19			2	2
TV-OA2Q-HAXQ	11.45			2	2
UE-2QTH-A3IT	11.69			2	2
T7-Z5KF-XIK9	29.01			2	2
39-2LDX-I8DN	20.85			2	2
4I-CE51-W70K	18.61			2	2
JH-95UT-X3IC	34.15			2	2
W9-XZOS-13CI	17.81			2	2
IP-KCMK-OTP2	45.3			2	2
R3-3ZW8-1CGW	25.27			2	2
NZ-BH4O-ACNY	43.55			2	2
0R-S3X5-1WLS	27.66			2	2
KV-CTHB-SNXR	15.71			2	2
EQ-Q390-CMJ3	18.38			2	2
WU-IC7C-KNIZ	19.71			2	2
HI-OZJ6-KAUN	100.41			2	2
I8-2ECP-V3EC	38.07			2	2
P2-T7L7-W06O	431.65			2	2
TO-H0WK-ZZT9	81.19			2	2
SQ-QK59-LT6G	18.75			2	2
T3-LWB1-GDH6	22.43			2	2
1B-L0TN-91WU	21.46			2	2
D7-BG8Q-P89I	19.59			2	2
CG-H805-HYW2	23.76			2	2
4V-TO24-NWM5	224.0			2	2
HV-NPO7-X4DH	16.09			2	2
O2-UKZH-OL5A	83.85			2	2
UU-89DZ-UPNB	24.89			2	2
QD-YVNP-894J	123.44			2	2
R1-ELXQ-CBEU	17.88			2	2
TC-ZBZ3-F2J5	39.19			2	2
C1-H9Z9-T898	80.42			2	2
Z0-2U2V-AR30	33.7			2	2
JZ-8BWA-YWP9	44.56			2	2
3L-HP8P-94QD	27.01			2	2
LQ-CBY3-TIVY	113.39			2	2
P8-SDPD-G1F8	18.05			2	2
GW-BBO1-K1ZK	21.69			2	2
IK-X1F5-MF6L	26.98			2	2
S8-EL3K-6JSZ	27.97			2	2
TX-WSWI-KWYR	10.4			2	2
HQ-1K0C-XKBS	17.84			2	2
ON-QWXT-IWVQ	22.02			2	2
70-NXOP-MDV2	18.19			2	2
CH-1KDT-ZELM	20.52			2	2
O3-IBW6-5GXJ	26.53			2	2
IO-2MRS-9S5N				0	2
NW-ULQH-AHMX	79.0			2	2
Z3-6K4N-MQ9T	19.59			2	2
D7-B1VN-FADY	82.26			2	2
TI-IEF2-O29A	37.74			2	2
2M-7WHQ-8FJY	13.37			2	2
PX-8TIG-UVCP	12.12			2	2
Z3-3XQS-VLB3	12.08			2	2
