FileType = repricing,  Version = 1.2.2 (Please do not edit this line or this will result in error when uploading)
Channel	SellerSKU	Cost	Rule Name	Min Price	Max Price	Shipping	add-delete	Group	Enable Repricing
Amazon US	NR-8W3U-7KVC		0-10$	18.96	11000000	0		123	1
Amazon US	FE-UHKS-AK1G		0-10$	66.37	11000000	0		123	1
Amazon US	0C-7NR3-PH0M		0-10$	32.7	11000000	0		123	1
Amazon US	AV-7PDR-4A3O		0-10$	1009.7	11000000	0		123	1
Amazon US	8H-QH2S-XWPC		0-10$	67.85	11000000	0		123	1
Amazon US	OS-1T78-37Q4		0-10$	74.76	11000000	0		123	1
Amazon US	X2-8FB8-RMX6		0-10$	26.7	11000000	0		123	1
Amazon US	5Q-U54J-0TBV		0-10$	18.84	11000000	0		123	1
Amazon US	DH-LXC9-2G39		0-10$	15.9	11000000	0		123	1
Amazon US	B0-6CBJ-VR2X		0-10$	87.08	11000000	0		123	1
Amazon US	9E-KFX8-EO0N		0-10$	35.34	11000000	0		123	1
Amazon US	9T-DAX7-33IS		0-10$	108.03	11000000	0		123	1
Amazon US	KZ-S42F-PXG8		0-10$	18.92	11000000	0		123	1
Amazon US	6E-KUSA-0333		0-10$	71.18	11000000	0		123	1
Amazon US	45-B2GG-MRM1		0-10$	135.22	11000000	0		123	1
Amazon US	BX-WPWC-0LFF		0-10$	70.11	11000000	0		123	1
Amazon US	HY-W8B1-AWLW		0-10$	9999999	11000000	0		123	0
Amazon US	KB-R664-JV6J		0-10$	17.29	11000000	0		123	1
Amazon US	S1-ZK2G-ZIG0		0-10$	20.83	11000000	0		123	1
Amazon US	2B-KMDA-3S61		0-10$	11.44	11000000	0		123	1
Amazon US	I8-VVOR-PPZU		0-10$	27.5	11000000	0		123	1
Amazon US	F0-2DT8-ZH8G		0-10$	24.94	11000000	0		123	1
Amazon US	UD-LPUQ-IDLH		0-10$	89.59	11000000	0		123	1
Amazon US	TV-OA2Q-HAXQ		0-10$	10.78	11000000	0		123	1
Amazon US	UE-2QTH-A3IT		0-10$	11.0	11000000	0		123	1
Amazon US	T7-Z5KF-XIK9		0-10$	27.3	11000000	0		123	1
Amazon US	39-2LDX-I8DN		0-10$	19.62	11000000	0		123	1
Amazon US	4I-CE51-W70K		0-10$	17.51	11000000	0		123	1
Amazon US	JH-95UT-X3IC		0-10$	32.14	11000000	0		123	1
Amazon US	W9-XZOS-13CI		0-10$	16.76	11000000	0		123	1
Amazon US	IP-KCMK-OTP2		0-10$	42.64	11000000	0		123	1
Amazon US	R3-3ZW8-1CGW		0-10$	23.78	11000000	0		123	1
Amazon US	NZ-BH4O-ACNY		0-10$	40.99	11000000	0		123	1
Amazon US	0R-S3X5-1WLS		0-10$	26.04	11000000	0		123	1
Amazon US	KV-CTHB-SNXR		0-10$	14.78	11000000	0		123	1
Amazon US	EQ-Q390-CMJ3		0-10$	17.3	11000000	0		123	1
Amazon US	WU-IC7C-KNIZ		0-10$	18.55	11000000	0		123	1
Amazon US	HI-OZJ6-KAUN		0-10$	94.5	11000000	0		123	1
