Row,ASIN,SKU,UPC,Store,SaleChan,Status,URL,Price
1,B07PJSL2S3,9K-PN3M-A8QC,SW?653341324139,,AmD,active,,9999999
2,B00X1DD190,YG-SX2B-YY7V,SW?703272317295,,AmD,SW?Pro Co?EVLMCN-2,http://www.ebay.com/itm/Pro-Co-EVLMCN-2-Evolution-Microphone-Cable-2-/401958903905?hash=item5d969e2061,9999999
3,B012TNMJJK,KA-QYA0-N8UC,SW?703272349289,,AmD,SW?Pro Co?EVLMCN-3,http://www.ebay.com/itm/Pro-Co-EVLMCN-3-Evolution-Microphone-Cable-3-/174096208226?hash=item2888f15162,9999999
4,B072L24V44,BW-33QS-9SR6,SW?728736033252,,AmD,SW?Hosa?PWC-415,http://www.ebay.com/itm/Hosa-PWC-415-IEC-C13-Power-Cable-15-/401958814202?hash=item5d969cc1fa,9999999
5,B07NLBYKD3,29-L8XA-2SH1,SW?757242610466,,AmD,active,,9999999
6,B000J1ARXA,XB-4LAF-5B9O,SW?656747023743,,AmD,SW?Middle Atlantic Products?VT4,http://www.ebay.com/itm/Middle-Atlantic-Products-Vent-Panels-4-Rack-Spaces-5-32-holes-/264663539840?hash=item3d9f2d2080,9999999
7,B00R0WZN8K,ER-444S-5GLS,SW?845644002801,,AmD,active,,9999999
8,B07HSM29K1,SB-86ZQ-7O1L,SW?761294219966,,AmD,active,,9999999
9,B07T9P3CJ6,08-GHHK-51LO,SW?019954309053,,AmD,active,,9999999
10,B07TCR1TJL,CJ-994E-RHY1,SW?019954309107,,AmD,active,,9999999
11,B07TFZ5X2N,Y0-JYS2-RR4U,SW?019954309084,,AmD,active,,9999999
12,B07P6GYD86,2C-DJVK-YHNZ,SW?761294221020,,AmD,active,,9999999
13,B0002CZYY8,41-1IV0-AC5A,SW?761294009116,,AmD,active,,9999999
14,B0002F4NHO,ZT-3MMH-XOW7,SW?641652171016,,AmD,active,,9999999
15,B004TP4J7M,KK-TF6X-6OPB,SW?728736050112,,AmD,SW?Hosa?HMIC-025,http://www.ebay.com/itm/Hosa-HMIC-025-Pro-Microphone-Cable-25-/264533299806?hash=item3d9769d25e,9999999
