sku	price	minimum-seller-allowed-price	maximum-seller-allowed-price	quantity	handling-time
0I-LT4Z-464W				0	2
0K-U4UE-G0L1	1118.6			2	2
1T-JYSI-4XWL	166.6			2	2
1U-DFM5-RV09	2519.99			2	2
2I-4U9L-RVZ5				0	2
2L-4ICP-NFSV	34.99			2	2
2Q-EJVR-QZVW	34.93			2	2
42-2G3P-QYWP	101.78			2	2
4W-K4IV-0ZDV	41.93			2	2
52-6WQU-AUKA				0	2
61-DU9F-Z587				0	2
7K-HWFU-VOWQ	48.99			2	2
7N-5XTB-8OMZ	139.99			2	2
89-TOE4-HNJX				0	2
8F-ALLK-22ER				0	2
A0-D3X4-AUHR	1118.6			2	2
A4-M25Q-7SV3				0	2
AY-BSWC-Y34G	95.2			2	2
BF-99YP-QS0T	769.99			2	2
C5-KP07-HRWX	699.99			2	2
DA-EFJY-5VHY	446.6			2	2
DT-86GR-OKHE	6018.6			2	2
EU-SZ4Y-7VAL				0	2
FE-BX56-FZQ8	2168.6			2	2
FE-OBKL-SHX4	1273.99			2	2
G0-1NSA-1U2E	3381.0			2	2
G2-TKKL-SPRY	699.99			2	2
G4-5H8L-XXM5	839.93			2	2
G9-7671-0Q1Q				0	2
GF-CJH1-52VB	34.99			2	2
JE-XF4M-FHIY	30.73			2	2
KN-LTVL-5XAO				0	2
L8-0ELM-YJKM	1818.6			2	2
LE-X573-SMQ0				0	2
LL-RUON-TPQ7				0	2
LV-7Q67-20P8				0	2
M0-R5KZ-SNUR	118.99			2	2
MB-3ZSX-6PDX	235.2			2	2
MQ-OOA2-OAZB	3708.6			2	2
NY-WVS3-3LRF	1119.99			2	2
NZ-3EXO-UY7A	433.99			2	2
OV-2M1W-2W4D				0	2
PK-B9ST-QQCZ	111.99			2	2
PR-EL06-1EII	419.99			2	2
Q8-KD47-2HEF	5178.6			2	2
QD-0PLL-B17E	530.6			2	2
QW-PLME-5I4W				0	2
RY-7Z5A-GFDS	55.93			2	2
T4-4YOX-XGIW				0	2
TC-1KAT-80SP	419.99			2	2
TL-CHZQ-4GET				0	2
TL-IQUT-TA3O	52.57			2	2
UK-PXZB-L8Z0				0	2
VJ-1XWA-00FV				0	2
VP-OC2J-VQKX				0	2
VS-A7G3-H0U6	69.99			2	2
VS-CIWW-IHL6				0	2
VW-0TVG-CMLH	97.99			2	2
VW-WR6A-8WPH				0	2
WH-DCMT-UEJT	104.99			2	2
XJ-YFZD-7RCE	28.45			2	2
XW-CZ5V-Y7M8	223.99			2	2
YO-YME3-L8ZK				0	2
ZM-SU0D-1PHU	2378.6			2	2
4O-86RX-DQTQ				0	2
0B-VSD0-EV23				0	2
SJ-KF65-NY7W				0	2
6A-7YJN-RHPQ	418.6			2	2
FZ-R9SR-2IZT	69.99			2	2
ZL-M5KV-901E	1119.99			2	2
R9-INXT-H9SW	102.13			2	2
P0-Y9NA-XBAR	69.99			2	2
RY-LN6J-W1U9	37.73			2	2
VU-6BUZ-UFEB	48.97			2	2
DP-RX4M-UTA7	125.99			2	2
DA-NV6W-NPRN				0	2
NK-HFYF-NUTO	348.6			2	2
94-Q9Z4-O7TL	164.5			2	2
5S-AJCZ-IZMD				0	2
LP-VE72-QL0Q	62.99			2	2
LN-D00N-NVDP				0	2
V0-DX0C-QEQU				0	2
7A-91CZ-HPLY				0	2
3L-2116-ES34	41.99			2	2
U8-BHA9-QVMX	40.6			2	2
1V-NBWG-1GSC	69.93			2	2
SJ-9XHJ-WA1N	83.93			2	2
SQ-SJ9I-3P1I	83.93			2	2
NA-VOEU-4ZQ0	32.2			2	2
A3-ZA3J-IE3Q	32.2			2	2
VS-WRI7-11RZ	39.2			2	2
V8-2CZ6-E8ID	90.93			2	2
68-RCVB-HE0Y	97.93			2	2
ZT-IZ4H-J21M	97.93			2	2
18-NKHM-UU31	55.93			2	2
BC-ATX1-M1EG	55.93			2	2
FY-Z2WW-AM0B	55.93			2	2
J9-SLFO-6ZRN	125.93			2	2
Y2-ZPIS-C5DG	76.93			2	2
GQ-7YUA-K281	83.93			2	2
M6-16LW-V6MV	69.93			2	2
T7-KCCR-FZPL	55.93			2	2
WF-AHF5-QE2Z	55.93			2	2
JW-7VI5-A9KJ	55.93			2	2
XU-RO6M-480X	90.93			2	2
6W-6173-IJHM	90.93			2	2
P0-7HJA-GRO5	34.93			2	2
I7-8Z5S-2QZ2	34.93			2	2
84-CST7-1M84	34.93			2	2
W7-5GUO-WXGF				0	2
L1-SMXC-ZUL2				0	2
0G-65W9-KAPB	46.13			2	2
3C-ECDC-F1SM	34.93			2	2
1Z-XVOG-CJFQ	34.99			2	2
1Y-QA6G-US1Y				0	2
49-WHR8-X11M				0	2
R5-0EDJ-49FQ				0	2
61-354Q-6YG2	48.99			2	2
ML-MMJP-A205				0	2
M5-MWL2-9L9G				0	2
VE-S4NI-587J				0	2
2V-RJOH-K29W	69.99			2	2
YN-39P6-8A0C	51.8			2	2
ER-0WK9-RDVC	50.27			2	2
FD-L64M-TS99	48.29			2	2
4G-W2B4-YHZI	104.15			2	2
2J-JGOZ-4REI				0	2
FQ-XHTA-D0N3	489.93			2	2
JV-LFF0-7EPI				0	2
EC-ZNA9-DLTT	103.6			2	2
H1-S7Q3-GS5X				0	2
PR-NGIO-8CCC				0	2
C2-AKZB-HCE2	109.96			2	2
BX-2R7J-77P2				0	2
5Q-DF9H-MXXU	1469.99			2	2
GT-07DV-YQJC				0	2
OD-PWVZ-6XDI	419.99			2	2
