FileType = repricing,  Version = 1.2.2 (Please do not edit this line or this will result in error when uploading)
Channel	SellerSKU	Cost	Rule Name	Min Price	Max Price	Shipping	add-delete	Group	Enable Repricing
Amazon US	0I-LT4Z-464W		0-10$	9999999	11000000	0		123	0
Amazon US	0K-U4UE-G0L1		0-10$	1052.8	11000000	0		123	0
Amazon US	1T-JYSI-4XWL		0-10$	156.8	11000000	0		123	0
Amazon US	1U-DFM5-RV09		0-10$	2371.75	11000000	0		123	0
Amazon US	2I-4U9L-RVZ5		0-10$	9999999	11000000	0		123	0
Amazon US	2L-4ICP-NFSV		0-10$	32.93	11000000	0		123	0
Amazon US	2Q-EJVR-QZVW		0-10$	32.88	11000000	0		123	0
Amazon US	42-2G3P-QYWP		0-10$	95.79	11000000	0		123	0
Amazon US	4W-K4IV-0ZDV		0-10$	39.46	11000000	0		123	0
Amazon US	52-6WQU-AUKA		0-10$	9999999	11000000	0		123	0
Amazon US	61-DU9F-Z587		0-10$	9999999	11000000	0		123	0
Amazon US	7K-HWFU-VOWQ		0-10$	46.1	11000000	0		123	0
Amazon US	7N-5XTB-8OMZ		0-10$	131.75	11000000	0		123	0
Amazon US	89-TOE4-HNJX		0-10$	9999999	11000000	0		123	0
Amazon US	8F-ALLK-22ER		0-10$	9999999	11000000	0		123	0
Amazon US	A0-D3X4-AUHR		0-10$	1052.8	11000000	0		123	0
Amazon US	A4-M25Q-7SV3		0-10$	9999999	11000000	0		123	0
Amazon US	AY-BSWC-Y34G		0-10$	89.6	11000000	0		123	0
Amazon US	BF-99YP-QS0T		0-10$	724.69	11000000	0		123	0
Amazon US	C5-KP07-HRWX		0-10$	658.81	11000000	0		123	0
Amazon US	DA-EFJY-5VHY		0-10$	420.33	11000000	0		123	0
Amazon US	DT-86GR-OKHE		0-10$	5664.56	11000000	0		123	0
Amazon US	EU-SZ4Y-7VAL		0-10$	9999999	11000000	0		123	0
Amazon US	FE-BX56-FZQ8		0-10$	2041.04	11000000	0		123	0
Amazon US	FE-OBKL-SHX4		0-10$	1199.05	11000000	0		123	0
Amazon US	G0-1NSA-1U2E		0-10$	3182.12	11000000	0		123	0
Amazon US	G2-TKKL-SPRY		0-10$	658.81	11000000	0		123	0
Amazon US	G4-5H8L-XXM5		0-10$	790.52	11000000	0		123	0
Amazon US	G9-7671-0Q1Q		0-10$	9999999	11000000	0		123	0
Amazon US	GF-CJH1-52VB		0-10$	32.93	11000000	0		123	0
Amazon US	JE-XF4M-FHIY		0-10$	28.92	11000000	0		123	0
Amazon US	KN-LTVL-5XAO		0-10$	9999999	11000000	0		123	0
Amazon US	L8-0ELM-YJKM		0-10$	1711.62	11000000	0		123	0
Amazon US	LE-X573-SMQ0		0-10$	9999999	11000000	0		123	0
Amazon US	LL-RUON-TPQ7		0-10$	9999999	11000000	0		123	0
Amazon US	LV-7Q67-20P8		0-10$	9999999	11000000	0		123	0
Amazon US	M0-R5KZ-SNUR		0-10$	111.99	11000000	0		123	0
Amazon US	MB-3ZSX-6PDX		0-10$	221.36	11000000	0		123	0
Amazon US	MQ-OOA2-OAZB		0-10$	3490.45	11000000	0		123	0
Amazon US	NY-WVS3-3LRF		0-10$	1054.1	11000000	0		123	0
Amazon US	NZ-3EXO-UY7A		0-10$	408.46	11000000	0		123	0
Amazon US	OV-2M1W-2W4D		0-10$	9999999	11000000	0		123	0
Amazon US	PK-B9ST-QQCZ		0-10$	105.4	11000000	0		123	0
Amazon US	PR-EL06-1EII		0-10$	395.28	11000000	0		123	0
Amazon US	Q8-KD47-2HEF		0-10$	4873.98	11000000	0		123	0
Amazon US	QD-0PLL-B17E		0-10$	499.39	11000000	0		123	0
Amazon US	QW-PLME-5I4W		0-10$	9999999	11000000	0		123	0
Amazon US	RY-7Z5A-GFDS		0-10$	52.64	11000000	0		123	0
Amazon US	T4-4YOX-XGIW		0-10$	9999999	11000000	0		123	0
Amazon US	TC-1KAT-80SP		0-10$	395.28	11000000	0		123	0
Amazon US	TL-CHZQ-4GET		0-10$	9999999	11000000	0		123	0
Amazon US	TL-IQUT-TA3O		0-10$	49.48	11000000	0		123	0
Amazon US	UK-PXZB-L8Z0		0-10$	9999999	11000000	0		123	0
Amazon US	VJ-1XWA-00FV		0-10$	9999999	11000000	0		123	0
Amazon US	VP-OC2J-VQKX		0-10$	9999999	11000000	0		123	0
Amazon US	VS-A7G3-H0U6		0-10$	65.87	11000000	0		123	0
Amazon US	VS-CIWW-IHL6		0-10$	9999999	11000000	0		123	0
Amazon US	VW-0TVG-CMLH		0-10$	92.22	11000000	0		123	0
Amazon US	VW-WR6A-8WPH		0-10$	9999999	11000000	0		123	0
Amazon US	WH-DCMT-UEJT		0-10$	98.81	11000000	0		123	0
Amazon US	XJ-YFZD-7RCE		0-10$	26.77	11000000	0		123	0
Amazon US	XW-CZ5V-Y7M8		0-10$	210.81	11000000	0		123	0
Amazon US	YO-YME3-L8ZK		0-10$	9999999	11000000	0		123	0
Amazon US	ZM-SU0D-1PHU		0-10$	2238.68	11000000	0		123	0
Amazon US	4O-86RX-DQTQ		0-10$	9999999	11000000	0		123	0
Amazon US	0B-VSD0-EV23		0-10$	9999999	11000000	0		123	0
Amazon US	SJ-KF65-NY7W		0-10$	9999999	11000000	0		123	0
Amazon US	6A-7YJN-RHPQ		0-10$	393.98	11000000	0		123	0
Amazon US	FZ-R9SR-2IZT		0-10$	65.87	11000000	0		123	0
Amazon US	ZL-M5KV-901E		0-10$	1054.1	11000000	0		123	0
Amazon US	R9-INXT-H9SW		0-10$	96.12	11000000	0		123	0
Amazon US	P0-Y9NA-XBAR		0-10$	65.87	11000000	0		123	0
Amazon US	RY-LN6J-W1U9		0-10$	35.51	11000000	0		123	0
Amazon US	VU-6BUZ-UFEB		0-10$	46.09	11000000	0		123	0
Amazon US	DP-RX4M-UTA7		0-10$	118.58	11000000	0		123	0
Amazon US	DA-NV6W-NPRN		0-10$	9999999	11000000	0		123	0
Amazon US	NK-HFYF-NUTO		0-10$	328.09	11000000	0		123	0
Amazon US	94-Q9Z4-O7TL		0-10$	154.82	11000000	0		123	0
Amazon US	5S-AJCZ-IZMD		0-10$	9999999	11000000	0		123	0
Amazon US	LP-VE72-QL0Q		0-10$	59.28	11000000	0		123	0
Amazon US	LN-D00N-NVDP		0-10$	9999999	11000000	0		123	0
Amazon US	V0-DX0C-QEQU		0-10$	9999999	11000000	0		123	0
Amazon US	7A-91CZ-HPLY		0-10$	9999999	11000000	0		123	0
Amazon US	3L-2116-ES34		0-10$	39.52	11000000	0		123	0
Amazon US	U8-BHA9-QVMX		0-10$	38.21	11000000	0		123	0
Amazon US	1V-NBWG-1GSC		0-10$	65.82	11000000	0		123	0
Amazon US	SJ-9XHJ-WA1N		0-10$	78.99	11000000	0		123	0
Amazon US	SQ-SJ9I-3P1I		0-10$	78.99	11000000	0		123	0
Amazon US	NA-VOEU-4ZQ0		0-10$	30.31	11000000	0		123	0
Amazon US	A3-ZA3J-IE3Q		0-10$	30.31	11000000	0		123	0
Amazon US	VS-WRI7-11RZ		0-10$	36.89	11000000	0		123	0
Amazon US	V8-2CZ6-E8ID		0-10$	85.58	11000000	0		123	0
Amazon US	68-RCVB-HE0Y		0-10$	92.17	11000000	0		123	0
Amazon US	ZT-IZ4H-J21M		0-10$	92.17	11000000	0		123	0
Amazon US	18-NKHM-UU31		0-10$	52.64	11000000	0		123	0
Amazon US	BC-ATX1-M1EG		0-10$	52.64	11000000	0		123	0
Amazon US	FY-Z2WW-AM0B		0-10$	52.64	11000000	0		123	0
Amazon US	J9-SLFO-6ZRN		0-10$	118.52	11000000	0		123	0
Amazon US	Y2-ZPIS-C5DG		0-10$	72.4	11000000	0		123	0
Amazon US	GQ-7YUA-K281		0-10$	78.99	11000000	0		123	0
Amazon US	M6-16LW-V6MV		0-10$	65.82	11000000	0		123	0
Amazon US	T7-KCCR-FZPL		0-10$	52.64	11000000	0		123	0
Amazon US	WF-AHF5-QE2Z		0-10$	52.64	11000000	0		123	0
Amazon US	JW-7VI5-A9KJ		0-10$	52.64	11000000	0		123	0
Amazon US	XU-RO6M-480X		0-10$	85.58	11000000	0		123	0
Amazon US	6W-6173-IJHM		0-10$	85.58	11000000	0		123	0
Amazon US	P0-7HJA-GRO5		0-10$	32.88	11000000	0		123	0
Amazon US	I7-8Z5S-2QZ2		0-10$	32.88	11000000	0		123	0
Amazon US	84-CST7-1M84		0-10$	32.88	11000000	0		123	0
Amazon US	W7-5GUO-WXGF		0-10$	9999999	11000000	0		123	0
Amazon US	L1-SMXC-ZUL2		0-10$	9999999	11000000	0		123	0
Amazon US	0G-65W9-KAPB		0-10$	43.42	11000000	0		123	0
Amazon US	3C-ECDC-F1SM		0-10$	32.88	11000000	0		123	0
Amazon US	1Z-XVOG-CJFQ		0-10$	32.93	11000000	0		123	0
Amazon US	1Y-QA6G-US1Y		0-10$	9999999	11000000	0		123	0
Amazon US	49-WHR8-X11M		0-10$	9999999	11000000	0		123	0
Amazon US	R5-0EDJ-49FQ		0-10$	9999999	11000000	0		123	0
Amazon US	61-354Q-6YG2		0-10$	46.1	11000000	0		123	0
Amazon US	ML-MMJP-A205		0-10$	9999999	11000000	0		123	0
Amazon US	M5-MWL2-9L9G		0-10$	9999999	11000000	0		123	0
Amazon US	VE-S4NI-587J		0-10$	9999999	11000000	0		123	0
Amazon US	2V-RJOH-K29W		0-10$	65.87	11000000	0		123	0
Amazon US	YN-39P6-8A0C		0-10$	48.75	11000000	0		123	0
Amazon US	ER-0WK9-RDVC		0-10$	47.32	11000000	0		123	0
Amazon US	FD-L64M-TS99		0-10$	45.45	11000000	0		123	0
Amazon US	4G-W2B4-YHZI		0-10$	98.02	11000000	0		123	0
Amazon US	2J-JGOZ-4REI		0-10$	9999999	11000000	0		123	0
Amazon US	FQ-XHTA-D0N3		0-10$	461.11	11000000	0		123	0
Amazon US	JV-LFF0-7EPI		0-10$	9999999	11000000	0		123	0
